case_id,proba,model_pred,requires_review,escalation_level
1,0.2546595111941128,0,True,manual_review
2,0.3652084955942385,0,True,manual_review
3,0.24074938380187813,0,True,manual_review
4,0.5522294829342678,1,True,manual_review
5,0.4434558083476202,0,True,manual_review
6,0.6310879837353564,1,True,manual_review
7,0.2505454835145089,0,True,manual_review
8,0.2020312296964529,0,True,manual_review
9,0.619367642462027,1,True,manual_review
10,0.5604694271179936,1,True,manual_review
11,0.0345309327006577,0,False,auto_reject
12,0.04088813559665547,0,False,auto_reject
13,0.40495082326119625,0,True,manual_review
14,0.7757710085949242,1,True,manual_review
15,0.5339441498811872,1,True,manual_review
16,0.8535102710735285,1,False,auto_approve
17,0.4837986605324486,0,True,manual_review
18,0.8302453601642279,1,False,auto_approve
19,0.18739583659057513,0,False,auto_reject
20,0.2410883461499107,0,True,manual_review
21,0.17463785572984739,0,False,auto_reject
22,0.1842709239663555,0,False,auto_reject
23,0.16634789889160342,0,False,auto_reject
24,0.22066847087501998,0,True,manual_review
25,0.3003089857110757,0,True,manual_review
26,0.13275575471855777,0,False,auto_reject
27,0.35482136877899545,0,True,manual_review
28,0.40278023024707077,0,True,manual_review
29,0.3696800469984825,0,True,manual_review
30,0.5178330966015275,1,True,manual_review
31,0.6069106583505577,1,True,manual_review
32,0.39875520213663995,0,True,manual_review
33,0.29323391103784074,0,True,manual_review
34,0.3305225151163342,0,True,manual_review
35,0.9019855649809981,1,False,auto_approve
36,0.5129148937805874,1,True,manual_review
37,0.6558438934382028,1,True,manual_review
38,0.7120364215760054,1,True,manual_review
39,0.7032844993325109,1,True,manual_review
40,0.7910041481767807,1,True,manual_review
41,0.6310532821452433,1,True,manual_review
42,0.539470848055,1,True,manual_review
43,0.5752552878219376,1,True,manual_review
44,0.19720348528701231,0,False,auto_reject
45,0.37844308494787765,0,True,manual_review
46,0.3747406049064192,0,True,manual_review
47,0.27233543105420166,0,True,manual_review
48,0.7034937221350518,1,True,manual_review
49,0.47043192727489075,0,True,manual_review
50,0.5296996469764261,1,True,manual_review
51,0.31788348146581,0,True,manual_review
52,0.12642094833468143,0,False,auto_reject
53,0.21203833816874498,0,True,manual_review
54,0.6106650465939372,1,True,manual_review
55,0.3809498171562395,0,True,manual_review
56,0.11330836036146807,0,False,auto_reject
57,0.8400511875686582,1,False,auto_approve
58,0.7625414718009507,1,True,manual_review
59,0.13087564330164664,0,False,auto_reject
60,0.35315166719967395,0,True,manual_review
61,0.5422877758370933,1,True,manual_review
62,0.254338420806975,0,True,manual_review
63,0.6622570640158573,1,True,manual_review
64,0.09625032808493127,0,False,auto_reject
65,0.20633837979212236,0,True,manual_review
66,0.15384909597158125,0,False,auto_reject
67,0.4397358536277651,0,True,manual_review
68,0.2674737086650298,0,True,manual_review
69,0.1289392330844323,0,False,auto_reject
70,0.06755775933188372,0,False,auto_reject
71,0.30470224045438854,0,True,manual_review
72,0.28954488822569796,0,True,manual_review
73,0.04070798706189883,0,False,auto_reject
74,0.121123128068537,0,False,auto_reject
75,0.4394903265187446,0,True,manual_review
76,0.6229175335513504,1,True,manual_review
77,0.35325448416172156,0,True,manual_review
78,0.36169520052550236,0,True,manual_review
79,0.13607216612972067,0,False,auto_reject
80,0.815643838033205,1,False,auto_approve
81,0.4286791566246022,0,True,manual_review
82,0.42621451810730354,0,True,manual_review
83,0.36777892025270065,0,True,manual_review
84,0.24605653423765383,0,True,manual_review
85,0.21130661769433878,0,True,manual_review
86,0.3151440899250288,0,True,manual_review
87,0.3712978086340338,0,True,manual_review
88,0.4393532084077365,0,True,manual_review
89,0.3464884439159063,0,True,manual_review
90,0.36310887929662955,0,True,manual_review
91,0.487475504340671,0,True,manual_review
92,0.552260902976084,1,True,manual_review
93,0.3848485424690531,0,True,manual_review
94,0.4192437076536655,0,True,manual_review
95,0.4976675629486404,0,True,manual_review
96,0.18811348736919487,0,False,auto_reject
97,0.2808404049920863,0,True,manual_review
98,0.4072644651921844,0,True,manual_review
99,0.3290147532275972,0,True,manual_review
100,0.361663507415461,0,True,manual_review
101,0.7372746522071386,1,True,manual_review
102,0.4218843224632985,0,True,manual_review
103,0.5595634995626392,1,True,manual_review
104,0.6994187713171502,1,True,manual_review
105,0.40465891901687273,0,True,manual_review
106,0.5856450921804327,1,True,manual_review
107,0.3837871612978247,0,True,manual_review
108,0.14922056430302713,0,False,auto_reject
109,0.3517519719574754,0,True,manual_review
110,0.2643850843399115,0,True,manual_review
111,0.8289808561450014,1,False,auto_approve
112,0.22474615410782764,0,True,manual_review
113,0.34628637968866943,0,True,manual_review
114,0.13561435319744405,0,False,auto_reject
115,0.3067977004042601,0,True,manual_review
116,0.7943410117715639,1,True,manual_review
117,0.11772049098056128,0,False,auto_reject
118,0.1318949532758422,0,False,auto_reject
119,0.5270817564772754,1,True,manual_review
120,0.486642780764962,0,True,manual_review
121,0.914408247642276,1,False,auto_approve
122,0.7026086313415225,1,True,manual_review
123,0.253588277618075,0,True,manual_review
124,0.4020746664159574,0,True,manual_review
125,0.6203774116315406,1,True,manual_review
126,0.7291027470637673,1,True,manual_review
